"","tail","head","value"
"1",1,4,80
"2",1,6,142.4
"3",1,7,50
"4",1,13,71.2
"5",1,14,94.8
"6",2,15,13.7
"7",3,4,86.18761
"8",4,6,42.05983
"9",4,14,42.05983
"10",5,11,2.09601
"11",5,12,0.3554104
"12",5,14,3.138952
"13",6,5,11.13822
"14",6,11,5.670364
"15",6,14,150.4368
"16",7,10,0.6256136
"17",7,12,1.570479
"18",7,15,36.30344
"19",8,9,3.280433
"20",8,10,0.5074656
"21",8,15,14.0152
"22",9,9,7.547183
"23",9,10,1.004015
"24",9,11,2.771082
"25",9,12,0.5552204
"26",9,15,35.97387
"27",10,10,0.3585262
"28",10,12,0.105566
"29",10,15,0.6174617
"30",11,12,1.2234
"31",11,15,4.005257
"32",12,15,1.165747
"33",13,3,76.8
"34",14,3,67.40656
"35",14,6,145.3326
"36",14,7,19.29359
"37",14,15,64.42331
"38",15,8,28.0303
"39",15,9,62.12347
