"","tail","head","value"
"1",1,8,348936
"2",1,12,60000
"3",1,20,33157
"4",2,9,286044
"5",2,12,50000
"6",2,19,72892
"7",2,21,33157
"8",3,15,18560
"9",3,21,23200
"10",4,16,58000
"11",4,21,203000
"12",5,15,4640
"13",5,21,5800
"14",6,15,2357
"15",6,16,14143
"16",6,21,13200
"17",7,8,13883
"18",7,20,16561
"19",8,9,293385
"20",8,12,3757
"21",8,20,5023
"22",9,10,207784
"23",9,20,205823
"24",9,21,30000
"25",10,17,35438
"26",10,18,23805
"27",10,21,89271
"28",11,13,64137
"29",11,21,215435
"30",12,21,47665
"31",12,17,59965
"32",13,14,101762
"33",13,15,8519
"34",13,17,2420
"35",13,18,8519
"36",13,21,343034
"37",14,17,39687
"38",14,21,31546
"39",15,17,16613
"40",15,21,21723
"41",16,21,25500
"42",17,21,131233
"43",18,17,16117
"44",18,21,21810
"45",19,7,58682
"46",19,8,40046
"47",20,9,70000
"48",20,10,30000
"49",20,12,40000
"50",20,19,27097
"51",20,21,93467
"52",21,11,328908
"53",21,13,493362
"54",21,15,17038
"55",21,18,18000
