"","tail","head","value"
"1",1,7,33671.45
"2",1,8,39440.67
"3",1,11,4458.031
"4",1,12,2415.342
"5",1,13,4687.355
"6",1,22,294.0877
"7",1,23,22.08312
"8",1,34,78834.63
"9",1,35,119270.1
"10",2,7,1443.316
"11",2,8,1131.006
"12",2,9,124.1849
"13",2,11,158.464
"14",2,12,71.02142
"15",2,13,109.919
"16",2,22,13.34218
"17",2,23,5.131606
"18",2,35,4179.18
"19",2,36,9915.289
"20",3,14,134896.3
"21",3,15,21021.1
"22",3,16,48089.09
"23",3,17,30162.74
"24",3,18,11805.24
"25",3,36,100313.7
"26",4,17,18086
"27",4,36,31885
"28",5,6,91011.12
"29",5,35,6862.686
"30",6,7,32454.66
"31",6,35,12789.83
"32",7,8,7850.837
"33",7,9,3571.585
"34",7,11,301.3558
"35",7,12,162.1086
"36",7,13,315.904
"37",7,35,40009.65
"38",8,9,7165.512
"39",8,10,1207.448
"40",8,20,5.104828
"41",8,21,26.7743
"42",8,22,1598.124
"43",8,23,258.5752
"44",8,24,5.417368
"45",8,35,22905.05
"46",9,10,572.5732
"47",9,35,6386.473
"48",9,36,608.8777
"49",10,35,465.0319
"50",10,36,195.5839
"51",11,19,556.1747
"52",11,36,3570.683
"53",12,19,225.1819
"54",12,26,9.426217
"55",12,36,1407.648
"56",13,36,1594.061
"57",14,25,6.004372
"58",14,26,49.20249
"59",14,27,261.8573
"60",14,28,63.37948
"61",14,29,127.4261
"62",14,36,114449.2
"63",15,19,293.5468
"64",15,25,1.751274
"65",15,26,11.67516
"66",15,27,80.89216
"67",15,28,49.20245
"68",15,29,18.84704
"69",15,36,19165.02
"70",16,19,3784.45
"71",16,27,45.86706
"72",16,36,19782.05
"73",17,36,26864.76
"74",18,19,806.4227
"75",18,25,0.2501829
"76",18,26,11.6752
"77",18,27,1.667886
"78",18,29,35.94294
"79",18,32,0.7505485
"80",18,36,3323.846
"81",19,19,249.7562
"82",19,33,2.045784
"83",19,36,1458.474
"84",20,36,3.542103
"85",21,33,0.2083602
"86",21,36,13.75177
"87",22,27,15.10978
"88",22,28,15.21399
"89",22,30,2.813546
"90",22,31,95.24374
"91",22,32,12.81727
"92",22,33,17.92333
"93",22,36,1204.615
"94",23,30,2.699752
"95",23,32,8.306931
"96",23,33,11.00668
"97",23,36,137.9989
"98",24,36,2.812802
"99",25,36,4.086427
"100",26,36,42.95469
"101",27,30,8.570167
"102",27,36,211.6495
"103",28,36,67.31846
"104",29,36,94.90544
"105",30,36,6.814786
"106",31,32,4.480828
"107",31,36,50.85218
"108",32,36,13.64295
"109",33,36,16.41279
"110",34,5,182022.2
"111",35,2,32570.3
"112",35,7,21930.12
"113",35,8,44101.02
"114",35,9,3405.334
"115",35,11,2664.946
"116",35,12,1457.171
"117",35,13,2858.202
"118",35,22,316.107
"119",35,23,108.7901
"120",35,36,288606.4
"121",36,3,623594.4
"122",36,19,1417.696
