"","tail","head","value"
"1",1,4,92.25055
"2",1,6,108.0566
"3",1,7,31.67323
"4",1,11,0.8662214
"5",1,13,215.9853
"6",1,14,326.7674
"7",2,8,49.55068
"8",2,15,87.35616
"9",3,4,249.3459
"10",3,14,18.80191
"11",4,4,88.91692
"12",4,5,9.785169
"13",4,6,21.50915
"14",4,7,2.135257
"15",4,14,144.6562
"16",5,5,1.568694
"17",5,14,18.77125
"18",5,15,2.204004
"19",6,5,22.93962
"20",6,11,5.189029
"21",6,14,62.75356
"22",7,10,2.140703
"23",7,12,0.02582525
"24",7,15,18.00655
"25",8,15,72.82941
"26",9,10,13.15724
"27",9,12,2.064442
"28",9,15,422.1596
"29",10,10,0.6740538
"30",10,12,0.005521258
"31",10,15,3.936198
"32",11,12,0.4968312
"33",11,15,3.733481
"34",12,12,0.03527975
"35",12,15,1.374961
"36",13,3,498.6921
"37",14,4,64.03681
"38",14,5,9.669915
"39",14,6,123.9233
"40",14,7,20.05404
"41",14,11,1.214715
"42",14,14,100.6835
"43",14,15,817.8677
"44",15,8,81.24954
"45",15,9,581.3333
"46",15,10,3.818856
"47",15,15,1949.995
