"","tail","head","value"
"1",1,3,44.7
"2",1,10,0.44
"3",1,11,0.32
"4",1,17,0.16
"5",1,19,8.15
"6",1,21,404
"7",2,21,4163
"8",3,7,0.09
"9",3,8,0.64
"10",3,11,0.22
"11",3,14,5.86
"12",3,15,3.2
"13",3,16,0.05
"14",3,21,73.2
"15",4,7,0.01
"16",4,8,1
"17",4,9,0.12
"18",4,10,0.15
"19",4,11,0.61
"20",4,12,2.68
"21",4,13,5.28
"22",4,14,8.59
"23",4,15,2.3
"24",4,16,0.06
"25",4,17,0.16
"26",4,18,0.53
"27",4,21,686.9
"28",5,21,0.5
"29",6,21,0.15
"30",7,21,0.03
"31",8,9,0.63
"32",8,12,0.5
"33",8,18,0.74
"34",8,20,0.02
"35",8,21,0.22
"36",9,18,0.02
"37",9,21,0.32
"38",10,6,0.03
"39",10,12,0.01
"40",10,18,0.01
"41",10,21,0.65
"42",11,6,0.01
"43",11,12,0.09
"44",11,18,0.1
"45",11,21,0.68
"46",12,6,0.07
"47",12,21,1.32
"48",13,9,0.05
"49",13,12,0.03
"50",13,21,1.06
"51",14,6,0.51
"52",14,9,0.62
"53",14,12,2.67
"54",14,18,0.56
"55",14,20,0.02
"56",14,21,3.38
"57",15,9,0.02
"58",15,12,0.37
"59",15,18,0.01
"60",15,20,0.04
"61",15,21,1.53
"62",16,21,0.03
"63",17,21,0.11
"64",18,9,0.06
"65",18,20,0.03
"66",18,21,0.41
"67",19,5,2.51
"68",19,6,0.08
"69",19,9,0.03
"70",19,12,0.08
"71",19,21,16.29
"72",20,21,0.02
"73",21,3,109.8
"74",21,4,2117.9
"75",21,7,0.05
"76",21,8,0.37
"77",21,10,0.79
"78",21,11,0.71
"79",21,14,0.97
"80",21,15,0.9
"81",21,16,0.02
"82",21,19,24.4
