"","tail","head","value"
"1",1,3,39.05
"2",1,9,0.12
"3",1,10,0.1
"4",1,13,0.35
"5",1,20,5.73
"6",1,21,319
"7",2,21,3156
"8",3,6,13.6
"9",3,10,0.07
"10",3,14,0.33
"11",3,15,0.4
"12",3,21,78.1
"13",4,6,2.1
"14",4,7,0.17
"15",4,9,0.04
"16",4,10,0.19
"17",4,11,1.71
"18",4,12,3.48
"19",4,14,0.49
"20",4,15,0.28
"21",4,16,0.09
"22",4,17,0.07
"23",4,18,1.78
"24",4,19,0.36
"25",4,20,17.19
"26",4,21,742.6
"27",5,21,0.01
"28",6,5,0.04
"29",6,8,0.24
"30",6,11,0.37
"31",6,16,0.23
"32",6,21,4.69
"33",7,21,0.03
"34",8,21,0.06
"35",9,11,0.01
"36",9,21,0.18
"37",10,11,0.01
"38",10,21,0.21
"39",11,11,0.01
"40",11,21,0.54
"41",12,11,0.17
"42",12,21,0.7
"43",13,21,0.18
"44",14,11,0.33
"45",14,21,0.18
"46",15,21,0.16
"47",16,21,0.07
"48",17,21,0.01
"49",18,21,0.36
"50",19,21,0.07
"51",20,5,0.01
"52",20,8,0.06
"53",20,11,0.06
"54",20,21,11.46
"55",21,3,117.15
"56",21,4,1485.1
"57",21,6,7.74
"58",21,9,0.22
"59",21,10,0.22
"60",21,14,0.06
"61",21,15,0.11
