"","tail","head","value"
"1",1,7,0.03353614
"2",1,8,0.03017487
"3",1,9,0.05433026
"4",1,10,0.6785787
"5",1,11,0.1866562
"6",1,12,0.08194619
"7",1,16,0.01000438
"8",1,17,0.06148687
"9",1,20,0.08246089
"10",1,21,1.576596
"11",1,22,0.1570854
"12",1,23,0.1217268
"13",1,24,0.1072036
"14",1,25,0.007853957
"15",1,26,0.002916364
"16",1,27,0.02374244
"17",1,28,0.1285274
"18",1,29,0.06996015
"19",1,30,0.03225018
"20",1,31,0.003730936
"21",1,35,0.0004772368
"22",1,41,7.593397e-05
"23",1,64,103.4838
"24",1,65,58.41113
"25",1,66,25.03334
"26",2,8,0.001620209
"27",2,9,0.000174242
"28",2,10,0.002139871
"29",2,11,0.0006823321
"30",2,12,0.00332065
"31",2,16,3.41199e-05
"32",2,17,0.000418528
"33",2,20,0.000670598
"34",2,21,0.1962723
"35",2,22,0.001920872
"36",2,23,0.0008760291
"37",2,24,0.000513894
"38",2,25,3.58226e-05
"39",2,26,2.36425e-05
"40",2,27,0.000149708
"41",2,28,0.001039261
"42",2,29,0.000317112
"43",2,30,0.000312672
"44",2,31,2.77121e-05
"45",2,35,2.34555e-06
"46",2,41,3.63426e-07
"47",2,65,2.51692
"48",2,66,0.2796577
"49",3,7,0.6217856
"50",3,8,0.8101791
"51",3,9,0.3977608
"52",3,10,4.349064
"53",3,11,2.789999
"54",3,16,0.006274061
"55",3,18,0.002418132
"56",3,19,0.7809716
"57",3,21,0.8407421
"58",3,23,0.2145552
"59",3,24,0.2277014
"60",3,35,0.0004110709
"61",3,36,0.005433327
"62",3,37,0.0006117189
"63",3,41,0.002823226
"64",3,42,0.0362963
"65",3,58,0.000346048
"66",3,65,818.1699
"67",3,66,818.1699
"68",4,7,0.0138573
"69",4,8,0.3298021
"70",4,9,0.1029013
"71",4,10,0.04669107
"72",4,11,0.05808581
"73",4,13,0.6883413
"74",4,42,0.01446545
"75",4,46,0.7244509
"76",4,47,0.0200185
"77",4,48,0.01456709
"78",4,49,0.006729421
"79",4,50,0.205422
"80",4,53,0.04173348
"81",4,56,1.90597e-05
"82",4,58,0.000137913
"83",4,61,0.000197872
"84",4,62,2.42769e-05
"85",4,63,7.18132e-05
"86",4,65,109.2672
"87",4,66,545.0273
"88",5,8,0.03573497
"89",5,9,0.05630406
"90",5,10,0.003354508
"91",5,11,0.001338962
"92",5,42,0.006616734
"93",5,56,8.718239e-06
"94",5,58,6.308379e-05
"95",5,61,9.050969e-05
"96",5,63,3.28485e-05
"97",5,65,94.26867
"98",5,66,205.9501
"99",6,8,0.02110832
"100",6,9,0.04799895
"101",6,10,0.002498154
"102",6,11,0.001972978
"103",6,42,0.01677685
"104",6,46,0.8402092
"105",6,53,0.04840197
"106",6,56,2.21052e-05
"107",6,58,0.00015995
"108",6,61,0.000229489
"109",6,63,8.328801e-05
"110",6,65,238.7948
"111",6,66,521.6982
"112",7,18,0.003624972
"113",7,29,0.03166481
"114",7,34,5.706728e-05
"115",7,38,0.001140716
"116",7,39,0.001678933
"117",7,40,0.0004521839
"118",7,42,0.003597044
"119",7,43,0.01274118
"120",7,45,0.0003617229
"121",7,49,0.0003229319
"122",7,51,0.0009671427
"123",7,52,2.249869e-07
"124",7,56,1.70337e-06
"125",7,57,1.06253e-09
"126",7,58,4.401929e-06
"127",7,59,4.079289e-06
"128",7,61,4.904249e-08
"129",7,63,1.51582e-05
"130",7,64,0.1087112
"131",7,66,0.1630827
"132",8,14,0.004942706
"133",8,15,0.001283052
"134",8,18,0.01371757
"135",8,27,0.06859548
"136",8,30,0.06512573
"137",8,31,0.00150346
"138",8,32,0.04111081
"139",8,33,0.04191682
"140",8,34,0.002416847
"141",8,38,0.003173274
"142",8,39,0.0046705
"143",8,40,0.001257898
"144",8,42,0.01000636
"145",8,43,0.03897574
"146",8,45,0.00100625
"147",8,49,0.0008983418
"148",8,51,0.002690424
"149",8,52,6.258749e-07
"150",8,56,4.738489e-06
"151",8,57,2.95577e-09
"152",8,58,1.22454e-05
"153",8,61,1.36428e-07
"154",8,63,4.216749e-05
"155",8,64,0.03129069
"156",8,66,0.2419569
"157",9,15,0.0002566099
"158",9,18,0.004660233
"159",9,27,0.02708086
"160",9,32,0.0611691
"161",9,33,0.04191681
"162",9,34,0.001691792
