"","tail","head","value"
"1",1,16,2.340257
"2",1,17,0.1615289
"3",1,18,0.1506389
"4",1,19,0.7215227
"5",1,20,0.013023
"6",1,21,0.9649457
"7",1,23,0.03353699
"8",1,27,0.01649599
"9",1,30,0.003484999
"10",1,31,0.09257797
"11",1,37,0.05561098
"12",1,67,1.909999e-05
"13",1,69,0.0004379998
"14",1,71,1.14e-05
"15",1,125,0.6631647
"16",2,16,33.1427
"17",2,17,2.287573
"18",2,18,2.133343
"19",2,19,10.2182
"20",2,20,0.184435
"21",2,21,13.66555
"22",2,23,7.455268
"23",2,27,0.293705
"24",2,30,0.039153
"25",2,31,0.895905
"26",2,32,0.1405
"27",2,35,0.365358
"28",2,37,0.51865
"29",2,38,0.100665
"30",2,39,0.00736
"31",2,40,0.020831
"32",2,45,0.093853
"33",2,48,0.005149
"34",2,71,0.00038
"35",2,84,0.011417
"36",2,89,0.000167
"37",2,91,0.000802
"38",2,125,2.305766
"39",3,18,0.002867085
"40",3,19,0.01373199
"41",3,20,0.0002481805
"42",3,23,0.0100313
"43",3,30,6.314592e-05
"44",3,71,2.431768e-06
"45",3,84,1.461062e-05
"46",3,89,1.280931e-06
"47",3,91,1.130822e-06
"48",3,125,0.05892985
"49",4,16,0.1997986
"50",4,17,0.01378997
"51",4,18,0.01286097
"52",4,19,0.06159987
"53",4,20,0.001111998
"54",4,21,0.08238181
"55",4,23,0.0449439
"56",4,27,0.001767996
"57",4,28,0.001796996
"58",4,31,0.00904698
"59",4,37,0.005180988
"60",4,125,0.01114197
"61",5,17,0.02091016
"62",5,18,0.01950015
"63",5,19,0.09340271
"64",5,20,0.001686013
"65",5,23,0.06814753
"66",5,27,0.001639013
"67",5,28,0.002725021
"68",5,31,0.1170259
"69",5,37,0.005944046
"70",5,45,0.08248563
"71",5,67,2.900022e-05
"72",5,69,0.0006640051
"73",5,71,1.730013e-05
"74",5,125,0.1998085
"75",6,17,0.024303
"76",6,18,0.022664
"77",6,19,0.108556
"78",6,20,0.001959
"79",6,22,0.02926501
"80",6,23,0.07920302
"81",6,27,0.002907
"82",6,31,0.015269
"83",6,37,0.008741002
"84",6,67,3.37e-05
"85",6,69,0.0007720001
"86",6,71,2.02e-05
"87",6,125,0.4199051
"88",7,17,0.0005830506
