,D1,A1,A2,A3,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,R1,B1,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,F100,F101,F102,F103,F104,F105,F106,F107,F108,F109,F110,F111,F112,F113,F114,F115,F116,F117,F118,F119,F120,F121,F122,F123,F124,F125,F126,F127,F128,F129,F130,F131,F132,F133,F134,F135,F136,F137,F138,F139,F140,F141,F142,F143,F144,F145,F146,F147,F148,F149,F150,F151,F152,F153,F154,F155,F156,F157,F158,F159,F160,F161,F162,F163,F164,F165,F166,F167,F168,F169,F170,F171,F172,F173,F174,F175,F176,F177,F178,F179,F180,F181,F182,F183,F184,F185,F186,F187,F188,F189,F190,F191,F192,F193,F194,F195,F196,F197,F198,F199,F200,F201,F202,F203,F204,F205,F206,F207,F208
D1 ,0,0,0,0,0,0.000226027,5.51E-06,1.23E-06,1.23E-06,2.47E-06,1.23E-06,2.74E-06,4.22E-05,0,0,3.84E-06,9.37E-06,0,0,0,2.53E-05,2.07E-06,0,0,0,3.44E-05,0,3.44E-05,1.47E-06,0,2.03E-06,9.59E-07,4.56E-07,4.60E-07,1.55E-06,1.33E-06,0,3.22E-06,1.32E-05,0,0,2.16E-05,1.53E-05,1.55E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69E-05,2.24E-05,2.15E-05,2.67E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,5.79E-07,0,6.67E-07,0,2.92E-07,6.16E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08E-06,9.99E-06,0,0,0,0,0,9.19E-06,1.98E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80E-06,1.72E-06,2.49E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14E-05,0,0,0,0,0,0,0,0,1.57E-05,8.34E-06,2.44E-06,2.68E-06,8.17E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27E-07,3.24E-07,0
A1 ,0,0,0,0,0,0,0,0,0,0,0,0,2.81E-05,0,1.71E-05,8.95E-06,0,0,0,0,1.69E-05,3.07E-06,2.29E-05,0,0,0.000114612,0.000183379,0,4.91E-07,4.05E-06,0,0,1.12E-05,0,2.96E-07,0,3.59E-06,6.14E-07,0,2.49E-06,0,3.40E-05,2.30E-05,2.37E-05,0,0,0,0,0,0,0,1.74E-07,3.50E-07,3.19E-05,0,0,0,0,3.58E-05,2.98E-05,2.87E-05,3.56E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65E-07,0,0,0,0,0,0,0,0,0,0,0,9.79E-07,0,0,0,0,1.23E-05,2.64E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.59E-05,0,0,0,0,0,0,4.45E-05,4.16E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92E-07,0,0,0,2.72E-05,5.36E-06,4.42E-07,7.77E-06,5.57E-06,3.32E-05,0,0,0,0,0,0,1.66E-06,0,0,0,0,0,0,0,1.05E-06,1.03E-06,1.04E-06,1.73E-07,0,4.19E-05,1.52E-07,1.06E-07,1.03E-06,1.87E-06,2.13E-06,4.79E-05,0,0,2.10E-05,1.19E-05,3.25E-06,4.75E-06,1.09E-05,0,0,2.44E-05,6.73E-05,2.18E-05,3.75E-05,2.55E-05,5.33E-05,4.17E-05,6.19E-05,3.78E-05,3.77E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88E-05,0,0,0,4.49E-05,0,0,0,0,0,0,0,4.72E-06,1.68E-06,0
A2,0,0,0,0,0,0,0,2.20E-05,2.20E-05,0,2.20E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.15E-08,0,0,0,0,0,0,0,2.99E-08,0,3.48E-07,0,0,0,0,0,0,2.08E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11E-06,6.29E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.95E-06,1.85E-06,2.15E-06,8.80E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78E-06,6.15E-07,0,0,0,0,0,6.70E-08,0,3.03E-07,2.85E-07,0,1.05E-07,0,0,2.03E-06,8.13E-08,3.08E-06,3.03E-07,2.95E-06,0,0,5.08E-08,0,0,0,5.93E-07,5.53E-07,0,0,0,7.75E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02E-06,0,0
 A3 ,0,0,0,0,0.026744945,0,0,0,0,0,0,0.000913242,0,0,0,0,9.92E-05,0,0,0,0.000562557,0,0,0.000521853,0,0,0,0,0,0,0,4.57E-05,2.17E-05,0.000175342,0,6.34E-05,0,0,0.000313112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000360731,0.003331507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I1 ,0,0,0,0,0,0,0,0.000684932,0.000684932,0.003196347,0.000684932,0.000913242,0,0,0,0,0,0,0.002846271,0,0.003125317,0,0.006367326,0.004058853,0.003183663,0.012734652,0,0,0.002729579,0,0,0.00035515,0.000225266,0,0,0.000493151,0,0,0.002435312,0,0.002029427,0,0,0,0,0,0,0,0,0.000264231,0,0,0,1.18E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016002,0,0,0,0,1.37E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I2 ,0,0,0,0,0.256751468,0,0,0.0001409,0.0001409,0.0001409,0.0001409,0.000313112,0.002410959,0,7.33E-05,0.000140274,0.000178474,0.002191781,0,0,0.000964384,2.63E-05,0,0.000626223,0,0.001964775,0.00392955,0,0.000336908,0,0,0.000109589,5.21E-05,5.26E-05,2.03E-05,5.07E-05,0,0.000105205,0.000751468,0,0,0,0,1.15E-05,0,0,0.002293855,0.000856095,0.002993346,0.002649863,0,0,0.000731277,0.00055595,6.63E-05,0,1.33E-05,0,0,2.57E-05,0,0,0,0,0,0.000114674,3.46E-05,0.001992955,2.66E-05,0.001514333,0,0,0,0,0,0,0,0,0,0,0,0,0.00048264,0.000144482,0,5.12E-05,0.001689299,0,0,0.001911155,0.001314948,0.004181667,0.001036174,0.001455969,0,0,0,0,0,0.002019584,0.000247358,0.002284462,0.000193052,0,3.47E-05,0,0,0.001260117,0.001329348,0,0.002268493,0.002171429,0,0,8.07E-05,0,0.000709589,1.61E-06,0.000452978,0,0,0,0,2.24E-05,0.001145303,0,0,0,0.000118647,4.00E-05,0.000585519,0.001371523,0,0,0,0.001471624,0,0,0.000405285,0,0,0,0.001584579,0,0.000663912,0,0,0,0,1.42E-05,0,0,0.000705314,0,0,0,0,0,2.56E-06,0.000561938,0,0.000264153,1.18E-05,0,0,0,0,0,0,0,0,0.001692368,0.000107238,0,0,3.36E-05,1.11E-05,0,3.52E-06,0.001588391,0,0,0,1.68E-05,1.19E-06,0.00066322,0,0.001991389,0.001531115,3.23E-05,0.000386752,0.000698694,0.000230225,0,0.000300963,0.000586145,0,0,0,0,0,0,0,0,0,0,0,0.00016909,0.000587036,0.000648053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83E-05,0,0.000117307,0.000179184,0,0,0,0.001232792,0,0.000139507,0,0,0,0,9.76E-06,0,0,0,0,0,0,3.06E-05,6.39E-05,0
I3 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60E-06,1.92E-06,0,0,0,0,6.33E-06,0,6.45E-05,0,0,0,0,0,0,0,0,0,7.60E-07,0,5.55E-08,0,4.81E-07,0,0,4.08E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22E-06,0,0,0,0,0,0,0,0,0,0,0,0,2.41E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81E-07,0,0,0,0,9.30E-08,2.47E-05,1.83E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87E-06,6.81E-06,0,0,1.02E-06,0,0,1.97E-05,2.41E-05,1.80E-05,1.94E-05,0,0,0,0,2.65E-07,0,0,0,1.66E-06,0,0,4.63E-08,0,0,1.07E-06,4.92E-07,0,0,0,2.85E-07,7.08E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.60E-06,0,0
I4 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24E-05,7.61E-06,0,0,0,0,5.02E-05,0,0.002841617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.72E-05,1.51E-05,1.93E-05,1.06E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08E-06,0,1.22E-06,6.87E-07,0,0,0,0,0,1.96E-06,3.86E-05,0,2.93E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63E-05,0,0
I5 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29E-05,0,0,0,0,0.000216986,0,0.004911937,0,0,0,0,0,0,0,0,0,0,0,6.34E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.34E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64E-05,3.10E-05,2.24E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000130552,2.10E-05,0,0,0,0,0,0,0,7.89E-06,8.91E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97E-05,1.73E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I6 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000177028,0,0,0,0,0.001168388,0,0.026448894,0,0,0,0,0,0,0,0,0,0,0,3.41E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016288978,0,0.008965753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002861749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000643456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000343435,0,0.000620991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001476502,0,0,0,0,0,0,0.000321307,0.000651465,0.000783793,0.01259431,0.003114099,0,0,0,0.001735427,0,0.010319241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54E-06,0,0,0,0,1.26E-05,0,0,0,0,0,0,0,0,0,0,0,1.01E-05,0,3.67E-07,0,1.27E-05,0,0,3.17E-06,0,0,0,0,0,0,0,0,0,0,0,1.80E-07,0,1.05E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52E-07,3.44E-07,0,0,0,0,8.17E-06,0,2.86E-06,1.46E-06,4.19E-06,0,0,3.06E-07,0,0,0,0,6.67E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I8 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000139369,0,0,0,0,0,0.000183443,0,0.003737344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10E-06,0,0,0,0,0,0,0,7.99E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000116998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I9 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.80E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000486176,0,0,0,0,0,0,0,0,0.000111487,0.000302971,0,0,0,0,0,0,0,0,1.61E-05,0.000708133,0,0.000193315,5.91E-05,0.000429159,0,0,0.000317072,0.000111969,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07E-05,4.85E-05,0.000197613,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000277605,0,0,0,0,0,0,0,0.000283022,0.000190215,0,0,0,4.16E-05,0,0,0,0,0,0,0,0,0,0,0,0.000308219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28E-05,0.0001818,0,0,0,0,0,0,0,0,0,0,0
