"","tail","head","value"
"1",1,6,16008
"2",1,7,0.092
"3",1,8,3502.992
"4",1,9,33115.21
"5",1,17,25556.13
"6",1,20,17686.08
"7",1,32,48747.86
"8",1,34,12186.96
"9",2,6,8004
"10",2,8,408.664
"11",2,9,4213.416
"12",2,17,1345.04
"13",2,32,20174.13
"14",2,34,5043.532
"15",3,5,37305.08
"16",3,6,8004
"17",3,32,18380.13
"18",3,34,4595.032
"19",4,17,2241.764
"20",4,32,1220.472
"21",4,34,305.164
"22",5,6,8004
"23",5,32,16575.18
"24",5,34,4143.772
"25",6,8,1342.832
"26",6,9,13848.21
"27",6,21,510.048
"28",6,32,10170.51
"29",6,34,2542.604
"30",8,10,65.596
"31",8,20,491.28
"32",8,21,714.012
"33",8,32,1406.22
"34",8,34,1406.22
"35",9,9,3023.396
"36",9,10,3213.284
"37",9,20,491.28
"38",9,21,8670.08
"39",9,32,18189.23
"40",9,34,18189.23
"41",10,11,0.092
"42",10,32,1268.772
"43",10,34,1268.772
"44",12,15,9016
"45",12,16,5266.632
"46",12,32,3627.652
"47",12,33,3627.652
"48",13,33,1644.408
"49",14,15,4508
"50",14,16,3950.02
"51",14,32,7206.636
"52",14,33,7206.636
"53",15,16,3950.02
"54",15,19,18.86
"55",15,24,94.392
"56",15,25,39.1
"57",15,26,193.2
"58",15,33,9228.52
"59",16,19,188.784
"60",16,24,1132.704
"61",16,25,469.016
"62",16,26,676.2
"63",16,29,39.56
"64",16,31,65.964
"65",16,32,3172.16
"66",16,33,12688.82
"67",17,19,94.392
"68",17,24,660.744
"69",17,25,273.608
"70",17,26,1062.6
"71",17,29,19.78
"72",17,31,65.964
"73",17,32,5841.54
"74",17,33,23366.07
"75",19,29,19.78
"76",19,33,177.284
"77",20,29,197.8
"78",20,30,35.512
"79",20,31,594.044
"80",20,32,764.98
"81",20,33,2294.94
"82",20,34,764.98
"83",21,29,79.12
"84",21,30,137.724
"85",21,31,197.984
"86",21,33,4805.344
"87",21,34,1201.336
"88",24,29,39.56
"89",24,30,66.608
"90",24,31,395.968
"91",24,32,307.096
"92",24,34,307.096
"93",25,30,204.332
"94",25,32,125.488
"95",25,34,125.488
"96",26,32,493.12
"97",26,34,493.12
"98",29,32,37.26
"99",29,34,37.26
"100",30,32,49.22
"101",30,34,49.22
"102",31,32,132.296
"103",31,34,132.296
"104",32,3,174761.4
"105",33,14,76304.8
"106",33,15,4508
"107",33,16,13166.58
"108",33,19,75.532
"109",34,4,9651.72
"110",34,8,583.832
"111",34,9,6016.524
"112",34,17,15692.35
"113",34,20,982.56
"114",34,21,305.992
"115",34,33,19559.2
