"","tail","head","value"
"1",1,6,26993.9
"2",1,7,1481.2
"3",1,8,1645.512
"4",1,9,34839.85
"5",1,17,1469.884
"6",1,20,17686.08
"7",1,32,48209.47
"8",1,34,48209.47
"9",2,6,13496.95
"10",2,7,105.8
"11",2,8,138.276
"12",2,9,2927.716
"13",2,17,133.584
"14",2,32,24144.94
"15",2,34,6036.212
"16",3,5,109664
"17",3,6,13496.95
"18",3,32,3962.624
"19",3,34,3962.624
"20",4,17,133.584
"21",4,32,5218.792
"22",4,34,2236.612
"23",5,6,13496.95
"24",5,7,105.8
"25",5,32,49586.99
"26",5,34,21251.54
"27",6,7,423.2
"28",6,8,691.38
"29",6,9,14638.58
"30",6,21,510.048
"31",6,32,15791.71
"32",6,34,15791.71
"33",7,8,13.8
"34",7,9,292.744
"35",7,21,50.968
"36",7,32,561.844
"37",7,34,561.844
"38",8,10,76.544
"39",8,21,663.044
"40",8,32,597.356
"41",8,34,597.356
"42",9,8,138.276
"43",9,9,2927.716
"44",9,10,3672.364
"45",9,11,17.94
"46",9,20,982.56
"47",9,21,8670.08
"48",9,23,0.92
"49",9,32,17067.75
"50",9,34,17067.75
"51",10,11,323.38
"52",10,32,1318.636
"53",10,34,1318.636
"54",11,32,167.532
"55",11,34,167.532
"56",12,15,6362.72
"57",12,16,653.844
"58",12,32,3805.764
"59",12,33,3805.764
"60",13,33,1616.256
"61",14,15,3181.36
"62",14,16,653.844
"63",14,32,13572.48
"64",14,33,13572.48
"65",15,16,1961.532
"66",15,19,43.056
"67",15,24,73.508
"68",15,25,74.888
"69",15,26,69
"70",15,33,7322.096
"71",16,19,129.168
"72",16,23,5.796
"73",16,24,441.14
"74",16,25,449.144
"75",16,26,414
"76",16,27,4.6
"77",16,28,4.876
"78",16,29,39.56
"79",16,31,33.488
"80",16,32,716.036
"81",16,33,2864.144
"82",17,19,172.224
"83",17,23,5.796
"84",17,24,147.016
"85",17,25,149.684
"86",17,26,138
"87",17,27,4.6
"88",17,28,6.44
"89",17,29,19.78
"90",17,31,33.488
"91",17,32,281.704
"92",17,33,1126.724
"93",19,19,43.056
"94",19,29,19.78
"95",19,33,184.276
"96",20,29,197.8
"97",20,30,35.512
"98",20,31,104.788
"99",20,33,542.708
"100",21,10,76.544
"101",21,11,17.94
"102",21,23,4.784
"103",21,28,1.656
"104",21,29,79.12
"105",21,30,137.724
"106",21,31,155.112
"107",21,32,2494.948
"108",21,34,2494.948
"109",23,32,5.244
"110",23,34,5.244
"111",24,28,1.656
"112",24,29,39.56
"113",24,30,66.608
"114",24,31,92.184
"115",24,32,117.944
"116",24,34,117.944
"117",25,30,204.332
"118",25,32,120.06
"119",25,34,120.06
"120",26,32,167.9
"121",26,34,167.9
"122",27,32,1.472
"123",27,34,1.472
"124",28,32,4.048
"125",28,34,4.048
"126",29,32,37.26
"127",29,34,37.26
"128",30,32,50.324
"129",30,34,50.324
"130",31,32,42.136
"131",31,34,42.136
"132",32,3,262172.4
"133",33,14,103358.3
"134",33,15,3181.36
"135",33,16,3269.22
"136",33,19,43.056
"137",33,23,1.932
"138",33,24,73.508
"139",33,25,74.888
"140",33,26,69
"141",33,28,1.656
"142",34,4,15178.16
"143",34,8,138.276
"144",34,9,2927.716
"145",34,17,935.364
"146",34,20,982.56
"147",34,21,305.992
"148",34,32,74830.87
"149",34,33,24943.59
