"","tail","head","value"
"1",1,7,22.97171
"2",1,14,4.40037
"3",1,15,18.79548
"4",1,16,0.033
"5",1,31,1.76904
"6",1,43,14.1904
"7",2,9,0.393196
"8",2,10,0.684796
"9",2,11,0.063171
"10",2,12,3.733044
"11",2,24,0.076
"12",2,27,0.917436
"13",2,28,0.229992
"14",2,43,0.022365
"15",3,9,0.035388
"16",3,10,0.061632
"17",3,11,0.012634
"18",3,12,0.746609
"19",3,24,0.0038
"20",3,27,0.190644
"21",3,28,0.019827
"22",3,43,0.047567
"23",4,24,0.228
"24",4,43,511.8633
"25",5,8,177.9375
"26",5,9,2.752371
"27",5,10,4.793575
"28",5,11,0.347439
"29",5,12,20.53174
"30",5,24,0.114
"31",5,25,0.0095
"32",5,43,1178.614
"33",6,24,0.19
"34",6,27,1.312617
"35",6,28,0.067411
"36",6,43,46.67297
"37",7,7,2.552413
"38",7,27,0.10473
"39",7,28,0.186373
"40",7,31,1.76904
"41",7,32,2.493664
"42",7,34,0.163795
"43",7,35,0.009715
"44",7,36,0.224365
"45",7,43,10.3628
"46",8,23,0.359053
"47",8,26,9.823225
"48",8,27,4.573213
"49",8,28,0.007931
"50",8,29,0.001814
"51",8,30,0.056597
"52",8,33,0.016166
"53",8,34,0.015166
"54",8,35,0.002211
"55",8,37,1.3e-05
"56",8,39,0.00014
"57",8,40,6e-05
"58",8,41,5.9e-05
"59",8,42,7.7e-05
"60",8,43,198.6693
"61",9,22,0.004782
"62",9,23,0.304283
"63",9,27,0.20946
"64",9,28,0.166546
"65",9,29,0.001823
"66",9,30,0.006289
"67",9,34,0.045499
"68",9,36,0.008313
"69",9,39,4e-06
"70",9,40,1.3e-05
"71",9,41,3e-05
"72",9,42,3e-05
"73",9,43,1.612103
"74",10,22,0.007173
"75",10,23,0.572051
"76",10,26,0.024255
"77",10,27,0.27928
"78",10,28,0.31723
"79",10,29,0.001823
"80",10,30,0.006289
"81",10,34,0.078864
"82",10,35,1e-05
"83",10,36,0.014007
"84",10,39,6e-06
"85",10,40,2.3e-05
"86",10,41,5.1e-05
"87",10,42,5.1e-05
"88",10,43,2.807665
"89",11,23,0.006086
"90",11,26,0.024918
"91",11,27,0.03491
"92",11,28,0.003965
"93",11,29,0.021772
"94",11,33,0.000557
"95",11,35,3e-06
"96",11,43,0.286814
"97",12,23,0.060857
"98",12,26,0.436588
"99",12,27,0.10473
"100",12,28,0.003965
"101",12,29,0.003629
"102",12,33,0.001858
"103",12,35,1e-04
"104",12,43,14.32045
"105",13,23,0.060857
"106",13,28,0.019827
"107",13,29,0.015603
