"","tail","head","value"
"1",1,32,305.0038
"2",2,1,20.04806
"3",2,7,10.92
"4",2,32,57.31594
"5",3,2,6.8526
"6",3,7,10.92
"7",3,32,120.3574
"8",4,7,10.92
"9",4,32,33.98
"10",5,2,9.1368
"11",5,32,170.5632
"12",6,1,60.14418
"13",6,2,11.421
"14",6,7,6.552
"15",6,32,197.2928
"16",7,32,54.09
"17",8,7,10.92
"18",8,32,177.42
"19",9,1,46.77881
"20",9,7,10.92
"21",9,9,15.62
"22",9,32,64.40119
"23",10,1,167.0672
"24",10,2,57.105
"25",10,7,43.68
"26",10,9,71.852
"27",10,32,387.6158
"28",11,1,233.894
"29",11,2,22.842
"30",11,9,15.62
"31",11,32,180.644
"32",12,1,33.41343
"33",12,2,27.4104
"34",12,9,15.62
"35",12,32,51.55317
"36",13,1,33.41343
"37",13,2,11.421
"38",13,9,21.868
"39",13,16,137.55
"40",13,17,43.2
"41",13,32,294.0476
"42",14,1,40.09612
"43",14,2,20.5578
"44",14,3,59.6
"45",14,7,4.368
"46",14,16,137.55
"47",14,17,43.2
"48",14,32,479.9281
"49",15,2,22.842
"50",15,3,11.92
"51",15,32,1391.638
"52",16,1,33.41343
"53",16,2,22.842
"54",16,3,17.88
"55",16,5,80
"56",16,7,21.84
"57",16,8,65
"58",16,17,172.8
"59",16,32,567.2046
"60",17,6,113.25
"61",17,32,210.35
"62",18,16,137.55
"63",18,17,43.2
"64",18,32,697.494
"65",19,2,15.9894
"66",19,3,357.6
"67",19,4,20.15
"68",19,5,480
"69",19,6,453
"70",19,7,21.84
"71",19,8,390
"72",19,14,400
"73",19,16,687.75
"74",19,17,302.4
"75",19,32,17387.27
"76",20,4,9.3
"77",20,5,80
"78",20,16,550.2
"79",20,19,3568
"80",20,21,4200
"81",20,32,12796.5
"82",21,3,149
"83",21,4,125.55
"84",21,5,160
"85",21,6,188.75
"86",21,7,21.84
"87",21,8,195
"88",21,9,171.82
"89",21,10,607.2
"90",21,14,400
"91",21,16,550.2
"92",21,17,259.2
"93",21,19,3568
"94",21,32,16003.44
"95",22,7,43.68
"96",22,10,220.8
"97",22,32,1407.18
"98",23,22,318
"99",23,32,159.12
"100",24,10,165.6
"101",24,12,216
"102",24,13,1287.9
"103",24,14,800
"104",24,15,444
"105",24,19,7136
"106",24,20,5700
"107",24,21,8400
"108",24,22,2544
"109",24,23,247.16
"110",24,24,21146.3
"111",24,32,51255.34
"112",25,15,444
"113",25,18,390.4
"114",25,20,5700
"115",25,22,318
"116",25,23,61.79
"117",25,24,21146.3
"118",25,32,17468.25
"119",26,25,26064
"120",26,32,77505.3
"121",27,25,13032
"122",27,26,91800
"123",27,32,274938
"124",28,26,22950
"125",28,32,45504
"126",29,26,22950
"127",29,32,691152
"128",30,14,200
"129",30,15,888
"130",30,19,3568
"131",30,24,21146.3
"132",30,32,67257.7
"133",31,10,110.4
"134",31,11,783
"135",31,13,143.1
"136",31,15,2220
"137",31,18,1561.6
"138",31,19,10704
"139",31,20,11400
"140",31,21,12600
"141",31,23,308.95
"142",31,24,126877.8
"143",31,25,13032
"144",31,32,129389.1
"145",32,11,87
"146",32,12,24
"147",32,14,200
"148",32,15,444
"149",32,16,550.2
"150",32,19,7136
"151",32,20,34200
"152",32,21,16800
"153",32,24,21146.3
"154",32,25,13032
"155",32,26,15300
"156",32,27,4e+05
"157",32,28,80000
"158",32,29,747600
