"","tail","head","value"
"1",1,4,20500
"2",2,5,460
"3",3,6,540
"4",4,7,3520
"5",4,10,33.7
"6",4,13,1080
"7",4,15,179
"8",5,7,282
"9",5,13,378
"10",5,15,1
"11",6,7,269
"12",6,10,17.6
"13",6,13,413
"14",6,14,83.8
"15",6,15,130
"16",7,8,630
"17",7,9,100
"18",7,10,2880
"19",8,10,700
"20",9,10,30
"21",10,8,317
"22",10,12,609
"23",10,14,4000
"24",11,13,2200
"25",12,10,601
"26",13,11,2230
"27",13,14,2500
"28",14,10,650
"29",14,13,600
"30",14,15,8000
"31",14,17,8670
"32",15,14,2800
"33",15,16,8760
"34",16,15,9600
"35",17,14,8550
