"","tail","head","value"
"1",1,7,6.88
"2",1,8,0.7099999
"3",1,10,2.83
"4",1,11,1.45
"5",1,49,4
"6",1,50,0.13
"7",2,9,1.15
"8",2,18,3.28
"9",2,19,5.39
"10",2,21,6.91
"11",2,23,1.55
"12",2,24,0.03
"13",2,31,0.1
"14",2,43,0.042
"15",2,49,0.42
"16",2,51,1.878
"17",3,9,3.42
"18",3,18,0.18
"19",3,19,1.08
"20",3,21,6.9
"21",3,23,0.08
"22",3,24,0.2
"23",3,29,0.24
"24",3,30,0.48
"25",3,40,0.575
"26",3,49,37.45
"27",3,51,99.195
"28",4,42,0.045
"29",4,43,0.002
"30",4,49,0.64
"31",4,51,1.863
"32",5,9,3.42
"33",5,13,2.7
"34",5,14,24.24
"35",5,15,3.89
"36",5,16,0.21
"37",5,17,10.16
"38",5,18,0.18
"39",5,22,5.18
"40",5,25,10.94
"41",5,26,0.44
"42",5,35,0.05
"43",5,37,0.46
"44",5,38,0.65
"45",5,39,0.008
"46",5,40,0.05
"47",5,49,26.75
"48",5,51,17.672
"49",6,7,6.88
"50",6,8,0.05
"51",6,10,0.5
"52",6,50,9.33
"53",7,7,0.6399999
"54",7,8,0.03
"55",7,10,0.21
"56",7,50,8.699999
"57",8,11,0.1999999
"58",8,33,0.3399999
"59",8,34,0.001999999
"60",8,36,0.004999998
"61",8,37,0.3199999
"62",8,38,0.05999998
"63",8,39,0.007999998
"64",8,40,0.006999998
"65",8,42,0.0009999997
"66",8,50,0.1999999
"67",9,19,1.510002
"68",9,24,0.4700005
"69",9,27,0.2700003
"70",9,32,0.9200009
"71",9,35,0.2100002
"72",9,36,0.01000001
"73",9,37,0.1200001
"74",9,38,0.2900003
"75",9,39,0.1080001
"76",9,40,0.01400002
"77",9,41,0.07900009
"78",9,42,0.003000003
"79",9,50,3.430004
"80",10,20,0.15
"81",10,24,0.13
"82",10,27,0.27
"83",10,28,1.2
"84",10,36,0.005
"85",10,43,0.001
"86",10,44,0.012
"87",10,51,1.06
"88",11,19,0.22
"89",11,24,0.03
"90",11,35,0.009999998
"91",11,44,0.004
"92",11,51,1.33
"93",12,9,3.420013
"94",12,13,10.13004
"95",12,14,65.94025
"96",12,15,6.040024
"97",12,16,0.3200012
"98",12,17,10.16004
"99",12,19,8.620033
"100",12,22,8.400032
"101",12,24,0.1000004
"102",12,25,11.40004
"103",12,26,0.9400036
"104",12,27,0.8100032
"105",12,37,0.04000016
"106",12,40,0.05000019
"107",12,42,0.01300005
"108",12,51,31.50012
"109",13,13,0.6800019
"110",13,14,3.880011
"111",13,15,0.3100008
"112",13,16,0.02000006
"113",13,17,0.2100006
"114",13,22,0.4200011
"115",13,25,0.2300006
"116",13,26,0.03000008
"117",13,27,0.09000025
"118",13,51,4.050012
"119",14,14,2.910007
"120",14,17,0.750002
"121",14,24,0.07000018
"122",14,25,0.2300006
"123",14,26,0.3300009
"124",14,27,4.310011
"125",14,33,0.1000003
"126",14,36,0.03000008
"127",14,37,0.8500022
"128",14,38,1.290003
"129",14,39,0.1600004
"130",14,40,0.007000019
"131",14,42,0.007000019
"132",14,51,42.06611
"133",15,19,0.6500018
"134",15,24,0.2400006
"135",15,27,0.09000024
"136",15,32,0.4800013
"137",15,35,0.1200003
"138",15,36,0.01000003
"139",15,37,0.06000016
"140",15,38,0.1300003
"141",15,39,0.05200014
"142",15,40,0.06700018
"143",15,41,0.04300012
"144",15,42,0.002000005
"145",15,51,1.530004
"146",16,51,0.1800004
"147",17,19,1.080002
"148",17,20,0.5200011
"149",17,31,0.2900006
"150",17,34,0.002000004
"151",17,41,0.06100012
"152",17,44,0.03200007
"153",17,46,0.00500001
"154",17,47,0.06000013
"155",17,51,6.500014
"156",18,20,0.5000001
"157",18,47,0.04
"158",18,51,0.8000001
"159",19,20,0.01000002
"160",19,24,0.1000002
"161",19,31,0.1000002
"162",19,36,0.01000002
"163",19,41,0.06100013
"164",19,44,0.008000016
"165",19,46,0.001000002
"166",19,47,0.01000002
"167",19,51,7.830016
"168",20,47,0.01000001
"169",20,51,0.5100004
"170",21,36,0.01
"171",21,39,0.04
"172",21,51,4.55
"173",22,35,0.0400001
"174",22,51,9.270023
"175",23,20,0.12
"176",23,24,0.71
"177",23,31,0.1
"178",23,34,0.116
"179",23,35,0.13
"180",23,38,0.16
"181",23,39,0.012
"182",23,41,0.04899999
"183",23,51,0.47
"184",24,20,0.1800002
"185",24,41,0.07300009
"186",24,46,0.002000002
"187",24,47,0.01000001
"188",24,51,1.425002
"189",25,19,1.940003
"190",25,24,0.2400004
"191",25,27,2.330003
"192",25,28,6.100009
"193",25,43,0.01300002
"194",25,44,0.2960005
"195",25,51,9.110013
"196",26,19,0.4300006
"197",26,24,0.4000005
"198",26,27,0.720001
"199",26,31,0.1000001
"200",26,35,0.05000007
"201",26,37,0.06000008
"202",26,38,0.2900004
"203",26,39,0.004000006
"204",26,41,0.05500007
"205",26,44,0.01600002
"206",26,51,0.6900009
"207",27,19,0.6500013
"208",27,24,0.6400014
"209",27,31,0.2000004
"210",27,35,0.08000017
"211",27,37,0.1000002
"212",27,38,0.3600008
"213",27,39,0.008000017
"214",27,41,0.06700014
"215",27,44,0.02400005
"216",27,51,3.590008
"217",28,34,0.08300008
"218",28,51,4.307004
"219",29,44,0.004000001
"220",29,51,0.166
"221",30,27,0.09
"222",30,28,0.6499999
"223",30,44,0.004
"224",30,51,0.09999999
"225",31,48,0.07200002
"226",31,51,6.428002
"227",32,51,1.140002
"228",33,28,0.1800002
"229",33,45,0.05000004
"230",33,48,0.02300002
"231",33,51,0.9700008
"232",34,28,0.09000002
"233",34,46,0.005000001
"234",34,51,0.116
"235",35,28,0.09000009
"236",35,46,0.005000005
"237",35,47,0.01000001
"238",35,51,0.4950005
"239",36,46,0.001000002
"240",36,51,0.04900008
"241",37,33,0.07000011
"242",37,42,0.001000002
"243",37,46,0.001000002
"244",37,51,1.160002
"245",38,28,0.6500006
"246",38,31,0.2000002
"247",38,33,1.180001
"248",38,35,0.2400002
"249",38,41,0.07900009
"250",38,42,0.009000009
"251",38,45,0.3000003
"252",38,46,0.03100003
"253",38,51,1.640002
"254",39,51,0.2700005
"255",40,28,0.1800001
"256",40,41,0.03700002
"257",40,46,0.01
"258",40,47,0.01
"259",40,48,0.002000001
"260",40,51,0.4000002
"261",41,51,0.3300004
"262",42,28,0.09000005
"263",42,41,0.006000003
"264",42,46,0.003000002
"265",42,51,0.04000002
"266",44,48,0.008000013
"267",49,6,32.25
"268",50,7,1.6
"269",50,51,6.498001
"270",51,12,202.701
