"","tail","head","value"
"1",1,4,8
"2",1,11,300
"3",1,13,30
"4",2,5,0.6
"5",2,6,9.9
"6",2,13,50
"7",3,7,3.4
"8",3,8,19.7
"9",3,13,7.9
"10",4,13,1.1
"11",5,10,0.8
"12",5,12,0.3
"13",5,13,1.2
"14",6,9,8
"15",6,10,0.1
"16",6,12,3.3
"17",6,13,14.6
"18",7,12,5.1
"19",7,13,37.4
"20",8,8,1.4
"21",8,9,9.3
"22",8,10,8.3
"23",8,12,49
"24",8,13,190.1
"25",9,12,0.7
"26",9,13,2.6
"27",10,9,0.5
"28",10,12,0.6
"29",10,13,1
"30",11,1,833
"31",11,2,167
"32",11,3,51.7
"33",12,5,3.6
"34",12,6,55.8
"35",12,11,271.5
"36",12,13,278
"37",13,7,65.4
"38",13,8,378.3
"39",13,11,54
