"","V1","V2","V3","V4"
"s1",5.57897865108211,8.04231288321609,10.0598395007654,12.8765717681514
"s2",-5.69010696237673,-8.54150943500844,-9.04744564824467,-8.47351816513184
"s3",-0.945257292203884,-2.58524007047332,-3.94499731096886,-4.87640512838977
"s4",6.71247427414473,11.4609775766504,13.7024542511225,15.1162381459022
"s5",6.54200443076273,8.54812400323114,9.63555684966045,11.0063391180253
"d1",-0.871432884924954,-1.20775177333075,-1.2856969801659,-1.60775921104593
"d2",-0.40395494960067,-0.901595711161348,-1.663723942895,-2.07070206548362
"d3",-1.11617494773071,-2.30031656655206,-1.61465466898694,-4.25662760400008
"d4",-0.853369308026083,-2.07923310716782,-3.87892575042953,-4.19585508171117
"d5",-0.479484320150453,-1.15926122789211,-1.93058638219195,-3.02139627812719
"d6",0,-0.142141062443803,2.08059866734506,0.231822320228497
"d7",0,-0.815316906105104,-0.525118791966637,-1.82244145381358
"d8",-0.27543505801603,-1.25324210034972,-1.24288370245041,-2.72242454743617
